,Operator,Stage,overpass_id,DateOfSurvey,TimestampUTC,Detected,QuantifiedPlume,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,OperatorWindspeed,QCFlag,OperatorKeep
146,GHGSat-AV,2,147.0,2022-11-04,20:13:39,True,True,119.0,143.0,95.0,1-sigma,2.799,GH-1,True
147,GHGSat-AV,2,148.0,2022-11-04,20:17:28,True,True,126.0,151.0,101.0,1-sigma,1.513,GH-1,True
148,GHGSat-AV,2,149.0,2022-11-04,20:20:58,True,True,111.0,133.0,89.0,1-sigma,3.038,GH-1,True
149,GHGSat-AV,2,150.0,2022-11-04,20:24:52,True,True,114.0,136.0,91.0,1-sigma,2.691,GH-1,True
150,GHGSat-AV,2,151.0,2022-11-04,20:28:04,True,True,162.0,195.0,130.0,1-sigma,2.934,GH-1,True
151,GHGSat-AV,2,152.0,2022-11-04,20:31:46,True,True,78.0,94.0,62.0,1-sigma,1.143,GH-1,True
152,GHGSat-AV,2,153.0,2022-11-07,19:23:08,True,True,29.0,34.0,23.0,1-sigma,1.977,GH-1,True
153,GHGSat-AV,2,154.0,2022-11-07,19:27:20,True,True,20.0,24.0,16.0,1-sigma,1.957,GH-1,True
154,GHGSat-AV,2,155.0,2022-11-07,19:31:33,True,True,28.0,34.0,23.0,1-sigma,2.626,GH-1,True
155,GHGSat-AV,2,156.0,2022-11-07,19:35:31,True,True,18.0,21.0,14.0,1-sigma,2.017,GH-1,True
156,GHGSat-AV,2,157.0,2022-11-07,19:39:49,True,True,33.0,40.0,26.0,1-sigma,2.166,GH-1,True
157,GHGSat-AV,2,158.0,2022-11-07,19:43:43,True,True,14.0,17.0,11.0,1-sigma,1.63,GH-1,True
158,GHGSat-AV,2,159.0,2022-11-07,19:48:14,True,True,27.0,32.0,21.0,1-sigma,2.827,GH-1,True
159,GHGSat-AV,2,160.0,2022-11-07,19:52:30,True,True,21.0,25.0,17.0,1-sigma,1.689,GH-1,True
160,GHGSat-AV,2,161.0,2022-11-07,19:57:09,True,True,20.0,25.0,16.0,1-sigma,2.656,GH-1,True
