,Team,Satellite,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,Gas,FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindSpeedUpper,WindSpeedLower,WindSpeedUncertaintyType,WindDirection,NumberOfEmissionSourcesReported,Notes,Data source,QC,QC_lax,UnblindingStage,DateTime (UTC),end_release,start_release,gas_kgh_mean,gas_kgh_sigma,meter_sigma,ch4_fraction_km,ch4_fraction_km_sigma,ch4_kgh_mean,ch4_kgh_sigma
154,NJU,LandSat,3,1,1,10/25/22 0:00,18:04:27,18:04:00,18:05:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,10/25/22 18:04,10/25/22 18:04,10/25/22 17:59,1035.978,27.13805734,1.32140051,0.950644,0.001365767,984.8462698,25.86792082
155,NJU,LandSat,12,1,1,10/26/22 17:58,17:58:34,,,,,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Release cancelled by Stanford due to system malfunction,,SE,SE,1,10/26/22 17:58,10/26/22 17:58,10/26/22 17:53,77.786952,0.096018222,0.099218051,0.950644,0.001365767,73.9476992,0.168863951
156,NJU,LandSat,4,1,1,11/2/22 0:00,18:04:39,18:04:00,18:05:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,11/2/22 18:04,11/2/22 18:04,11/2/22 17:59,795.414,14.7902663,1.014558673,0.95034125,0.002693054,755.914735,14.25074441
157,NJU,LandSat,5,1,1,11/3/22 0:00,17:58:13,17:58:00,17:59:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,11/3/22 17:58,11/3/22 17:58,11/3/22 17:53,1370.2422,20.57906742,1.747757908,0.95034125,0.002693054,1302.197685,19.97141723
158,NJU,LandSat,6,1,1,11/10/22 0:00,18:04:28,18:04:00,18:05:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,11/10/22 18:04,11/10/22 18:04,11/10/22 17:59,1218.16152,23.55479593,1.553777449,0.953674,0.00166258,1161.728969,22.60333368
159,NJU,LandSat,7,1,1,11/11/22 0:00,17:58:25,17:58:00,17:59:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_Landsat-8-9.xlsx,OK,OK,1,11/11/22 17:58,11/11/22 17:58,11/11/22 17:53,1453.8246,24.52295965,1.854368112,0.953894125,0.002032185,1386.794745,23.64440016
160,NJU,LandSat,8,1,1,11/18/22 0:00,18:04:31,18:04:00,18:05:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_PRISMA.xlsx,OK,OK,1,11/18/22 18:04,11/18/22 18:04,11/18/22 17:59,1558.86732,24.52225662,1.988351173,0.946370625,0.005284178,1475.26624,24.69748997
161,NJU,LandSat,9,1,1,11/19/22 17:58,17:58:20,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Not among initially listed times ,,SE,SE,1,11/19/22 17:58,11/19/22 17:58,11/19/22 17:53,0,0,,,,,
162,NJU,LandSat,10,1,1,11/27/22 17:58,17:58:04,,,,Methane,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,Excluded,,Not among initially listed times ,,SE,SE,1,11/27/22 17:58,11/27/22 17:58,11/27/22 17:53,0,0,,,,,
163,NJU,PRISMA,1,1,1,10/15/22 0:00,18:16:14,18:16:00,18:17:00,,Methane,0,0,0,,0,0,0,,,,,2022_DataReporting_PRISMA.xlsx,OK,OK,1,10/15/22 18:16,10/15/22 18:16,10/15/22 18:11,0,0,,,,,
