,datetime_utc,overpass_id,phase_iii,kgh_gas_30,kgh_gas_60,kgh_gas_90,kgh_ch4_30,kgh_ch4_60,kgh_ch4_90,methane_fraction,meter,qc_discard,qc_discard_strict,altitude_meters
134,2022-11-04 18:58:30,126.0,1,88.2279871,88.25099016,88.27876484,86.45754549,86.48008696,86.50730429,0.979933333,mc,0.0,0.0,7903.160173
135,2022-11-04 19:01:56,127.0,1,88.27687742,88.2788459,88.29490549,86.50545475,86.50738373,86.52312106,0.979933333,mc,0.0,0.0,8024.027778
136,2022-11-04 19:05:35,128.0,0,65.3876129,65.38833443,65.36239121,64.07550147,64.07620852,64.05078589,0.979933333,mc,1.0,1.0,7925.625
137,2022-11-04 19:09:00,129.0,0,65.35927742,65.34926557,65.34751648,64.04773459,64.03792364,64.03620965,0.979933333,mc,0.0,0.0,8024.097222
138,2022-11-04 19:13:18,130.0,1,48.47980645,48.46927869,48.47344615,47.50697834,47.49666183,47.50074567,0.979933333,mc,0.0,0.0,8030.729167
139,2022-11-04 19:17:06,131.0,1,48.61672258,48.59935082,48.59968352,47.64114701,47.62412385,47.62444987,0.979933333,mc,0.0,0.0,8001.736111
140,2022-11-04 19:21:16,132.0,0,70.32658065,70.32245902,70.31804835,68.91536059,68.91132167,68.90699951,0.979933333,mc,1.0,1.0,7987.916667
141,2022-11-04 19:24:21,133.0,0,53.24156129,53.25934426,53.29178901,52.17318063,52.19060675,52.22240044,0.979933333,mc,0.0,0.0,8031.388889
142,2022-11-04 19:27:59,134.0,0,53.34468387,53.32886557,53.30698022,52.27423388,52.258733,52.23728682,0.979933333,mc,0.0,0.0,8075.0
143,2022-11-04 19:31:20,135.0,0,53.59354839,53.58428852,53.5736967,52.51810452,52.50903047,52.49865119,0.979933333,mc,0.0,0.0,8057.708333
144,2022-11-04 19:35:06,136.0,0,53.43387097,53.41443934,53.40928352,52.36163129,52.34258959,52.33753723,0.979933333,mc,0.0,0.0,7980.625
145,2022-11-04 19:38:24,137.0,0,53.3672129,53.38038689,53.39361758,52.29631083,52.30922046,52.32218566,0.979933333,mc,0.0,0.0,7994.880051
146,2022-11-04 19:41:54,138.0,0,53.24632258,53.25291148,53.27734945,52.17784637,52.18430305,52.20825064,0.979933333,mc,0.0,0.0,7946.354167
147,2022-11-04 19:45:24,139.0,0,95.67754839,95.65436066,95.64416703,93.75761892,93.73489649,93.72490741,0.979933333,mc,1.0,1.0,7993.75
148,2022-11-04 19:48:52,140.0,0,95.78055484,95.78437377,95.77360879,93.85855837,93.86230067,93.85175171,0.979933333,mc,0.0,0.0,7977.951389
149,2022-11-04 19:52:20,141.0,0,95.90574194,95.89379016,95.87045275,93.98123338,93.96952144,93.94665233,0.979933333,mc,0.0,0.0,7984.265873
150,2022-11-04 19:55:53,142.0,1,60.02883871,60.04386885,60.04792088,58.82426001,58.83898855,58.84295927,0.979933333,mc,0.0,0.0,7972.291667
151,2022-11-04 19:59:19,143.0,1,60.12116129,60.11421639,60.08882637,58.91472999,58.90792445,58.88304392,0.979933333,mc,0.0,0.0,7975.972222
152,2022-11-04 20:03:24,144.0,0,82.81927742,82.80737705,82.79845714,81.15737059,81.14570902,81.1369681,0.979933333,mc,0.0,0.0,7987.518939
153,2022-11-04 20:06:38,145.0,0,82.85829677,82.85577049,82.8507956,81.19560695,81.19313136,81.18825631,0.979933333,mc,0.0,0.0,7940.208333
154,2022-11-04 20:10:23,146.0,0,125.6112,125.6021705,125.5725495,123.0906019,123.0817536,123.052727,0.979933333,mc,0.0,0.0,7997.291667
155,2022-11-04 20:13:39,147.0,0,102.8874194,96.52438033,85.82107253,100.8228118,94.58745776,84.09892967,0.979933333,mc,1.0,1.0,8001.125
156,2022-11-04 20:17:28,148.0,1,103.3201161,103.3391213,103.3407692,101.2468258,101.2654496,101.2670645,0.979933333,mc,0.0,0.0,7968.645833
157,2022-11-04 20:20:58,149.0,1,103.1045806,103.1228262,103.1528176,101.0356154,101.0534948,101.0828844,0.979933333,mc,0.0,0.0,7838.715278
158,2022-11-04 20:24:52,150.0,1,103.0551097,103.0583213,103.0510286,100.9871371,100.9902843,100.9831379,0.979933333,mc,0.0,0.0,7972.708333
159,2022-11-04 20:28:04,151.0,1,103.1646194,103.1449574,103.1356088,101.0944493,101.0751819,101.0660209,0.979933333,mc,0.0,0.0,7990.625
160,2022-11-04 20:31:46,152.0,0,75.8492129,75.88392787,75.91672088,74.32717203,74.36119038,74.39332535,0.979933333,mc,1.0,1.0,8009.102564
161,2022-11-07 19:23:08,153.0,1,14.01504387,14.02440197,14.02783912,13.73380866,13.74297897,13.74634715,0.979933333,bc,0.0,0.0,8243.083333
162,2022-11-07 19:27:20,154.0,1,13.95927871,13.96149049,13.96569363,13.67916252,13.68132992,13.68544871,0.979933333,bc,0.0,0.0,8160.416667
163,2022-11-07 19:31:33,155.0,0,22.95534194,22.95738295,22.9546444,22.49470474,22.4967048,22.4940212,0.979933333,bc,1.0,1.0,8133.465909
164,2022-11-07 19:35:31,156.0,1,23.01899226,23.01672393,23.01446769,22.55707781,22.55485501,22.55264404,0.979933333,bc,0.0,0.0,8103.541667
165,2022-11-07 19:39:49,157.0,1,23.15190194,23.13981443,23.13567297,22.68732044,22.67547548,22.67141713,0.979933333,bc,0.0,0.0,8099.166667
166,2022-11-07 19:43:43,158.0,0,12.39180387,12.3987482,12.39841978,12.14314167,12.14994665,12.14962482,0.979933333,bc,1.0,1.0,8113.402778
167,2022-11-07 19:48:14,159.0,1,21.35903226,21.36264197,21.36753495,20.93042768,20.93396495,20.93875974,0.979933333,bc,0.0,0.0,8130.902778
168,2022-11-07 19:52:30,160.0,1,19.94955097,19.95642295,19.96091604,19.54922998,19.55596406,19.560367,0.979933333,bc,0.0,0.0,7943.854167
169,2022-11-07 19:57:09,161.0,1,19.87683097,19.87351082,19.87937407,19.47796923,19.4747157,19.48046129,0.979933333,bc,0.0,0.0,8133.680556
170,2022-11-07 20:01:17,162.0,1,19.84071484,19.84250951,19.84300615,19.44257783,19.44433648,19.44482316,0.979933333,bc,0.0,0.0,8101.770833
171,2022-11-07 20:05:45,163.0,1,19.8461729,19.84803934,19.84128132,19.44792637,19.44975535,19.44313294,0.979933333,bc,0.0,0.0,8104.0625
172,2022-11-07 20:09:17,164.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.979933333,None,1.0,1.0,8075.208333
